"year","dtbtor","CVD","CVA","value18","CVA18","CVD18","bill70","bill7018"
2015,"Saint-Vith",1.75,1.935,1.046638376,2.02524525756,1.831617158,283.6295,296.857519265692
2016,"Saint-Vith",1.75,2.115,1.040396,2.20043754,1.820693,296.9855,308.982526258
2017,"Saint-Vith",1.75,2.365,1.022,2.41703,1.7885,315.5355,322.477281
2012,"Stoumont",1.15,0,1.09217087138862,0,1.25599650209691,92.3525,100.864710399917
2013,"Stoumont",2.18,0,1.06449402669456,0,2.32059697819414,174.2375,185.474777976193
2014,"Stoumont",2.18,0,1.05187156788,0,2.2930800179784,174.2375,183.275472308492
2015,"Stoumont",2.18,0,1.046638376,0,2.28167165968,174.2375,182.3636540383
2016,"Stoumont",2.18,0,1.040396,0,2.26806328,174.2375,181.27599805
2017,"Stoumont",2.18,0,1.022,0,2.22796,174.2375,178.070725
2012,"SWDE",2.4,1.475,1.09217087138862,1.61095203529821,2.62121009133268,301.1725,328.931831763289
2013,"SWDE",2.4488,1.565,1.06449402669456,1.66593315177699,2.60673297256964,311.7301,331.834829390898
2014,"SWDE",2.448,1.745,1.05187156788,1.8355158859506,2.57498159817024,325.0225,341.881926671277
2015,"SWDE",2.62,1.935,1.046638376,2.02524525756,2.74219254512,352.7945,369.248262541732
2016,"SWDE",2.62,2.115,1.040396,2.20043754,2.72583752,366.1505,380.941515598
2017,"SWDE",2.62,2.365,1.022,2.41703,2.67764,384.7005,393.163911
2012,"Tellin",1.9,1.475,1.09217087138862,1.61095203529821,2.07512465563838,261.4225,285.518039625591
2013,"Tellin",1.95,1.565,1.06449402669456,1.66593315177699,2.07576335205439,272.0755,289.622744559936
2014,"Tellin",2.22,1.745,1.05187156788,1.8355158859506,2.3351548806936,306.8965,322.815702631885
2015,"Tellin",1.95,1.935,1.046638376,2.02524525756,2.0409448332,299.5295,313.499069444092
2016,"Tellin",2.52,2.115,1.040396,2.20043754,2.62179792,358.2005,372.670367398
2017,"Tellin",2.52,2.365,1.022,2.41703,2.57544,376.7505,385.039011
2014,"Tenneville",1.9,1.745,1.05187156788,1.8355158859506,1.998555978972,281.4565,296.056089945017
2015,"Tenneville",1.9,1.935,1.046638376,2.02524525756,1.9886129144,295.5545,309.338681899492
2016,"Tenneville",2.34,2.115,1.040396,2.20043754,2.43452664,343.8905,357.782300638
2017,"Tenneville",2.34,2.365,1.022,2.41703,2.39148,362.4405,370.414191
2012,"Theux",1.92,1.475,1.09217087138862,1.61095203529821,2.09696807306615,263.0125,287.254591311099
2013,"Theux",2.255,1.565,1.06449402669456,1.66593315177699,2.40043403019623,296.323,315.434063472212
2014,"Theux",2.35,1.745,1.05187156788,1.8355158859506,2.471898184518,317.2315,333.686795285924
2015,"Theux",2.41,1.935,1.046638376,2.02524525756,2.52239848616,336.0995,351.774634854412
2016,"Theux",2.41,2.115,1.040396,2.20043754,2.50735436,349.4555,363.572104378
2017,"Theux",2.41,2.365,1.022,2.41703,2.46302,368.0055,376.101621
2012,"Tintigny",1.23,1.475,1.09217087138862,1.61095203529821,1.343370171808,208.1575,227.343558161076
2013,"Tintigny",1.28,1.565,1.06449402669456,1.66593315177699,1.36255235416904,218.8105,232.92247022805
2014,"Tintigny",1.28,1.745,1.05187156788,1.8355158859506,1.3463956068864,232.1665,244.209340364212
2015,"Tintigny",1.28,1.935,1.046638376,2.02524525756,1.33969712128,246.2645,257.749876346452
2016,"Tintigny",1.84,2.115,1.040396,2.20043754,1.91432864,304.1405,316.426559638
2017,"Tintigny",1.84,2.365,1.022,2.41703,1.88048,322.6905,329.789691
2012,"Trois-Ponts",1.66,1.475,1.09217087138862,1.61095203529821,1.81300364650511,242.3425,264.679419399496
2013,"Trois-Ponts",1.86,1.565,1.06449402669456,1.66593315177699,1.97995888965188,264.9205,282.006289798936
2014,"Trois-Ponts",2.1,1.745,1.05187156788,1.8355158859506,2.208930292548,297.3565,312.780847874309
2015,"Trois-Ponts",1.86,1.935,1.046638376,2.02524525756,1.94674737936,292.3745,306.010371863812
2016,"Trois-Ponts",2.28,2.115,1.040396,2.20043754,2.37210288,339.1205,352.819611718
2017,"Trois-Ponts",2.28,2.365,1.022,2.41703,2.33016,357.6705,365.539251
2012,"Virton",1.056,1.475,1.09217087138862,1.61095203529821,1.15333244018638,194.3245,212.235558497158
2014,"Virton",1.45,1.745,1.05187156788,1.8355158859506,1.525213773426,245.6815,258.42538460411
